title,sentence,score
버드 박스,"사람들을 죽게만드는 그것의 존재가 뭔지, 새는 왜 들고다니는지에 대한 설명이 영화 끝날때까지 너무 없으니 뭔가 허무한 느낌. 그래도 (다른 리뷰와 마찬가지로) 몰입감, 긴장감은 영화 보는 내내 엄청났음. 특히 Greg였나? 집으로 와서 살다가 검은 악마그림들을 가방에서 꺼냈을때부터 너무 무서워서 지릴뻔함. 마지막으로 역시 샌드라 블럭의 연기는 끝내줌. ",8
신세계,"명작이구나,, 요즘 황정민 영화는 다 연기가 비슷비슷한데 신세계에서 만큼은 진짜 정청이었다,, 감독님 최고,, 근데 박성웅없는 포스터 조금 아쉽긴하다",10
신비한 동물들과 덤블도어의 비밀,저랑 남자친구 둘 다 너무 재밌게 봤어요.. 덤블도어와 그린델왈드 이야기를 중심으로 보시길 ,10
상류사회,꽤나 몰입감있는 세태풍자 판타지 혹은 다큐,8
중경삼림,영화적 설정이라해도 토나온다. 스토킹 범죄에서 로맨스를 어떻게 느끼지 2022년에도 이게 통한다고? ,2
니 부모 얼굴이 보고 싶다,"학폭 영화,, 너무 잘 만들어서 역겨움가해자는 끝까지 잘못을 모르는 것까지현실고증 미쳤음꼭 봐야하는 영화라고 생각함",10
이상한 나라의 수학자,여자애 좀 이상함자기가 시험유출됫다고 익명게시판에 올려놓고는  주인공덮어씌우네? 나서지는 않고 이상함,10
나이브스 아웃,러닝타임 내내 흥미진진하고 긴장감 있게 봤어요!!재밌었어요 !!할아버지가 마르타를 정말 아꼈다는 점도 ㅠㅠ!,10
안시성,조인성 연기 너무... p,2
부기나이트,연출 연기 스토리 모두 기대이상입니다. 약간의 코믹 및 반전 생각보다 괜찮아서 추천합니다.,10
공기살인,영화솓 피해자가 나와 우리아이였을수도 있다고 생각하니 아찔하고 피해자분들이 너무 안타까웠어요,8
뜨거운 피,"친구, 바람을 잇는 부산영화. 주인공의 딜레마를 잘 살려서 끝까지 재밌게 보았음. 평점이 낮아서 올려주려 리뷰 달음.",10
세 얼간이,중간에 노래 많이 나오는 게 좀 킹받긴 하지만 그것도 매력이니까...진짜 너무 재밌고 또 감동적이면서 여운을 남기는 영화!!! 이건 진짜 꼭 봐야 된다 알 이즈 웰 ,10
더 파더,"우연히 채널을 돌리다가 본 작품.. 루즈함보다는? 현실의 무서움? ㅜㅜ 반전은 관객이 다 알고있는 그대로 흐른다.. 조연들의 연기가 압권이었다.. 한정된 공간.. 한정된 사람(기억?).. 옷차림이 점점 흐트러지면서.. 결국 내자신도 나를 못 믿게되는.. ㅜㅜ 마지막에 어머니도 아닌, 엄마를 찾는다.. 엄마.. 우리의 현실에서 엄마를 찾게되는 순간은.. 나이는.. 언제나 기쁨보다? 두려움과 힘듬의 최고조에서 마지막의 그날이 아닐까? ㅜㅜ 조금은 지루하고? 단순할 수있는 패턴이 주조연의 연기로 끝까지 중심을 지켜간다.. 현실.. 현실은 스릴러와 공포구나.. ㅜㅜ",10
모범시민,흑인 검사새끼가 죽었으면 별 5개 줄수있는데..주인공까지 다 죽고 검사 혼자 살아남아서 별2개 ..  나 같으면 검사새끼부터 죽였을듯.. ,4
할로윈 킬즈,매우 매우 재밌게 봤음. 그런데 혹평하는 사람들의 마음도 이해가 감.,9
텍사스 전기톱 학살 2022,별점 0점 없나요? 보지마세요이거보다가 없던 암이생겼습니다,1
야차,킬링타임용으로 재밌게 볼만함!!,10
무언의 목격자,"초반 30분 동안 쫓고 쫓기는 장면은 예상외로 긴장감이 넘치고, 중반 이후 공포, 스릴러, 범죄, 코미디 등 종잡을 수 없을 정도로 장르가 변하는 것은 다소 난잡하게 느껴지지만 그래도 볼만하다.",6
봄날,살아가는 날들이 봄날이다바람불고 꽃피고 꽃지고,10
니 부모 얼굴이 보고 싶다,내가 과연 좋은 부모가 될 수 있을까 생각하게 만드는 영화,10
신비한 동물들과 덤블도어의 비밀,너무재밌었다!!!! 신비한동물사전 그린델왈드의범죄 다보고 간 사람이라면! 이해 100퍼되서 더 재밌다!!!! 해리포터 시리즈 전체 다본사람이라면! 당연 200퍼 재밌다!!!!,10
어웨이크,망한 의사는 계속 망한다 ( 사기 집도의 ) 빚때문에 잘해야 할거같은데 계속 나락임. 궁지 몰리니 손대지말아야 할 도덕성도 손대는거 ,10
중경삼림,이건 1000년 뒤에도 명화로 꼽힐 것임!!,10
뜨거운 피,뛰어난 작품입니다. 정우씨의 연기실력은 제 한국 최고수준이 도달했습니다. ,10
어느날,저는 너무 좋게봤어요 근데 관객수가ㅜ,10
신비한 동물들과 덤블도어의 비밀,대체 덤블도어의 비밀이 뭔지 모르겠다. 게이라는거? 어둡고 내용의 포인트를 알 수 없는 영화. 전갈나올때만 잠깐 잠이 깸. ,4
토이 스토리 3,눈물 찔찔 짰다...과거에 얽매이지 말고 살아가야 하는 교훈을 주는 것 같은 느낌...때로는 추억을 놓아주기도 하고 나아가야 한다는 것을....,10
야차,킬링타임용으로 나쁘지 않아요 평균 올려주려고 좀 더 줍니다 ,8
불꽃 슛 통키,"주말의 명화에 나와야 하는 명작.  요즘 잘나간다는 연기자들 데려다 놓고, 이 대본 쥐어 주고서 똑같이 연기시켜봐라. 다들 잘못했다고 손들고 나갈거다.",10
신비한 동물들과 덤블도어의 비밀,충분히 재미있습니다!! 스토리도 영상미도 마법 전투씬도 연기도 유머도 고루 갖춘 영화더군요! 재미없다는 얘기가 많아 볼까 말까 망설였는데 볼 만한 가치가 있습니다. 보지 않았더라면 해덕으로서 아쉬울 뻔했습니다~~~~,10
데자뷰,그럴싸한 이론으로 과거를 가는건데 당시 시간여행 영화. 볼만한 영화.,7
라따뚜이,최고의애니메이션이다,10
미 비포 유,넘아련함사랑하는사람을 두고 떠날수밖에없는 남주가 넝아련함,10
피터팬,????(/□＼*)???????(&amp;gt;ヘ＜）? ??,10
니 부모 얼굴이 보고 싶다,아이 키우는 입장에서 분노가 치밀더라구요. 저런 가해자같은 악마들을 키워내는데는 결국 부모 책임도 있는거지요. 다만 문소리씨 연기가 너무 거슬려서 안타깝더라구요. 원래 이렇게 연기가 부자연스러운지..,8
바후발리: 더 비기닝,아무생각없이 보면시간이 훅훅 간다발리우드의 최대장점화려한 영상미비끕뽕짝을 좋아하면강추ㅎㅎ,10
최악의 하루,이희준의찌질한연기는단연최고다.,8
퍼펙트맨,약 1시간 반정도로 호흡을 줄였으면 안늘어지고 더 재밌었을듯 해요ㅎㅎ,8
앵커,"임신과 경력단절에 대해 생각해볼 수 있었던 영화.. 긴장감 넘치고 스릴 넘쳤고, 후반부로 갈수록 생각에 빠지게 되며 여운이 남는 영화..!",10
모범시민,감독이 흑인ㅡㅡ이게 정의냐 ,1
공기살인,우리가 끊임없이 관심 가지고 잊지 말아야 할 사건이다. ,10
베놈 2: 렛 데어 비 카니지,90년대 말이나 먹힐법한 스토리... 이제 이런영화는 너무 진부함... 톰하디처럼 말못하는 배우도 없음... ,4
서울괴담,이건 아이돌팬들이라도 와서봐라 하고만든 영화라고 쳐도 그 아이돌 팬들마저 기만하는 수준의 영화다. 기승전까지 써놓고 결은 꿈꾸면서 쓰셨나 도대체 잘가다가 결말들이 다 왜그럼? 갑자기 괴수영화가 되지 않나 갑분 좀비;; 그래.. 첨에 귀신이 망치들고 사람 뚝빼기 꺨때 내가 나왔어야됐어..,2
서울괴담,무서운거 보다가 이렇게 졸리긴 처음임 90년대 토요미스테리나 이야기속으로가 더 재밌을정도 ㅠㅠ 이런건 책으로 보는게 더 나을듯,1
루시드 드림,"저는 재미가 없었습니다. 전반적으로 리얼리티가 떨어지고, 반전은 연계성이 적고, 몰입도가 낮고, 진부합니다. 박인환 배우님의 열쇠액션이 인상에 남는정도입니다.",6
문폴,나름 재미있게 봤습니다,8
야차,재밌게 봣는데 별테뭐임; ㅋㅋㅋ ,10
올드,"킬링 타임으로는 좋은 영화. 걸작은 될 수 없다.가장 큰 문제점은 플롯과 인물의 내면이 30분에 2년이라는 시간의 속도를 따라가지 못한다. 그리고 그 시차를 끝에서야 얼렁뚱땅 매운다.몇몇 씬은 아주 인상적이나, 대부분의 씬은 너무 급하거나, 느리거나. 혹은 그저 평범하거나.",5
더 배트맨,왜 제목이 &amp;#39;더 배트맨&amp;#39;인지 알 거 같다. 가장 배트맨다운 영화.,9
카트,실화기반이라면서 왜 노란 리본 안 달았나요? 진정성이 없어보여서 평점 깎아요.,1
신비한 동물들과 덤블도어의 비밀,눈물남미쳤음눈물남해리포터향수ㅠㅠㅠㅠ,10
불도저에 탄 소녀,악역은   1번이지만  빨간넥타이에  빨간당 ‥ 원하는건  그거였던듯,2
배트맨,진짜 잘만들었다 감독제작진들 짱이다,10
도둑들,"오션스랑 비교되어 티비에서만 띄엄띄엄 봐서 그런지, 감동지수가 낮았었는데 넷플릭스로 처음부터 끝까지 쭉 보니, 탄탄한 스토리와 깔끔한 연출, 헐리웃영화라는 다른 매력이 있는 보고나면 기분 좋아지는 최고의 한국영화임.  ",10
로스트 시티,기대안하고 갔는데 재밌게봄.. 뻔한 스토리지만 개그요소를 넣어둬서 웃긴부분이 있었다 그렇다고 너무 코미디를 기대하면 노잼임 가족영화느낌이랄까,7
신비한 동물들과 덤블도어의 비밀,쌉노잠ㅠ큐쿠쿠쿸쿵콩,1
슬리퍼스,"케빈 베이컨 땜에 20년도 훨씬 전에 극장서 봤는데 그땐 좀 지루했던 내용이 이제 40대 되서 보니 진지하게 보게 된.. 아 배우들이 넘 쟁쟁해 눈이 즐겁고~ 등장인물 소개에 로버트 드니로, 더스틴 호프먼, 브래트 핏 보다 맨 앞에 케빈 베이컨이라 띠용 일급살인에선 불쌍한 죄수 슬리퍼스에선 악랄한 교도관 완전 반대 역할 넘 잘하심ㅎ ",10
인 타임,진짜 오랜만에 겁나게 재밌는 영화를 보았다,10
샹치와 텐 링즈의 전설,삼류도 삼류도 이런 삼류가 없다. 마블 영화라는게 도무지 믿어지지 않는다,3
버닝,오타쿠 평론가들은 정말로 이 허구의 청춘로맨스로 기인한 발연기의 향연을 과연 이창동이란 이름으로 덮을 작정인가? 구질구질함과 예술성은 전혀 관련이 없다. ,6
야차,진짜 이렇게 재미없을 수가 있구나..,1
나일 강의 죽음,너무지루해요지루한게 다이김,1
동경 이야기,살아계실때잘해야지 부모님들은 기다려주시지않네요...,9
낙원의 밤,재밌게 잘 가다 말 못알아쳐먹는 부분이 별점 깎음  엄태구 연기는 좋았음. ,8
신사는 금발을 좋아한다,금발녀는 멍청하단 편견이 이 영화때문에 생긴거지.,6
벼랑 위의 포뇨,포뇨가 고작 별점 8점? ;;;,10
광대: 소리꾼,“우리 소리가 참 흥겹고 구슬프고 정겹구나” 알게된 영화였어요. 서편제 이후 판소리를 소재로 한 영화중 최고입니다. 청이로 나온 아역배우의 눈빛 연기부터 남녀배우들 모두 내공있는 모습이 보는 내내 빠져들게 했어요. 특히 이유리님의 울면서 부르는 노래는 정말 압권. 좋은 영화구나 생각했는데 촬영 비하인드 스토리를 들어보니 더 마음에 와 닿습니다. 꼭 남북 동시상영 하는 날이 오길 바랍니다. 배우들 모두 수고하셨고 혹시 영화 안보신분 들은 꼭 보셨으면 좋겠어요. 가슴이 따뜻해지고 재미도 있는 소리꾼 추천합니다. !!!,10
박열,꼬꼬무를 통해 영화를 보게되었습니다잊어서는 안되는 역사이야기 너무 감명깊게 봤습니다,10
문폴,"moonfall에 fall이란 단어는 보통 추락이란 뜻으로 알려져있는데 다른뜻으로 함락당하다, 기능저하 이런 의미도 부여할수 있습니다.  ",10
앰뷸런스,감독의 정신 상태가 의심되는 영화,2
중경삼림,볼 때마다 감상이 바뀌는 영화,10
렛 힘 고,무난한 영화 요즘의 자극적인 영화보다 좋았다,10
빌로우 제로,50대 아빠와 딸이 함께 보면 평점은 모두 만점 나옵니다. ㅎㅎㅎ 딸만 둘 둔 딸바보 아빠가 감상평 올립니다. ,10
니 부모 얼굴이 보고 싶다,중학생 아들이랑 둘이 봤어요부모로서 많은 생각을 하게 됩니다학생자녀가 있으신 부모들은 자식들과 함께 보길 추천 드립니다,10
언니,"넷플 떠서 봤는데 영화 비추입니다. 보는 내내 불편, 답답하고 스토리도 뻔하고 이시영이 돋보이는 영화이지만 그럼에도 이시영이 아깝다",2
니 부모 얼굴이 보고 싶다,"보고 나니 계속 생각이 나네요. 담담하면서도 에너지 강한 영화였습니다. 배우들의 연기와 스토리, 연출, 음향까지 좋았습니다. 추천합니다.",10
서울괴담,재밌어요 꼭 보세요!!,10
니 부모 얼굴이 보고 싶다,때린 놈이 다리 뻗고 자는 세상.,8
서울괴담,이게뭘까... 그냥 재미없음,1
니 부모 얼굴이 보고 싶다,다 보고서도 찜찜했던 영화.처음부터 끝까지 증거인멸만했던 영화,8
신비한 동물들과 덤블도어의 비밀,"갈수록 지지부진하고 아쉬운 시리즈. 영상, 음악은 나쁘지 않음.",6
돈 룩 업,나는 이 영화속 대통령을 보며 윤석열후보가 생각이 났다 썩은 정치인들과 재벌들을 제대로 보여주는 영화,10
신이 있는 달의 아이,주인공 칸나랑 도깨비랑 시노(토끼) 셋 다 캐릭 자체가 귀엽고 스토리도 넘 재밌네요! 2도 나왔으면..ㅠ,10
메리 셸리: 프랑켄슈타인의 탄생,그들의 갈등 속에서 문학이 나온다,10
사일런스,신은 단지 인간이 만들어낸 허상일뿐이다. 그렇지 않고서야 어찌 본인을 믿고따르는 충성심을 빙자하여추종자들에게 그런 고통을 줄 수 있음? 안믿으면 지옥불로 떨어트리고 믿어도 고통받으며 죽게하고 ㅋㅋㅋㅋ 대체 어느 장단에 맞춰야하는건가 ㅋㅋ,8
야차,액션 스파이물 좋은데내용이 종북빨갱이라 1점준다,2
신비한 동물들과 덤블도어의 비밀,이거 평점보고 기대안하고봐서그런자존 나 재미있었다요 하 미치는줄 ㅠㅠㅠ너무잼있러 덤블도어 존나멋져영 우앵,10
니 부모 얼굴이 보고 싶다,오랜만에 반전 영화 나왔네,7
그린 나이트,재밌게 봤는데 마지막에 off with your head가 네 머릴 자르마라고 번역 되어 있는데 잘못된 번역같네요.,10
스텔라,평점 엄청 낮게 준 사람들은 얼만큼 기대를 한 건지... 기냥저냥 풋 하고 웃을 정도로 잔잔한 코믹 로드 무비로 나름 괜찮았네요. 간만에 올드카 스텔라도 보고 좋네요.,8
극장판 주술회전 0,킬링타임용 약간의오글거림 재밌게봤딘,8
극장판 주술회전 0,킬링타임용 약간의오글거림 재밌게봤딘,8
극장판 주술회전 0,킬링타임용 약간의오글거림 재밌게봤딘,8
서울괴담,걍  초딩때 들어보던 괴담을 영화로 표현한거임 노잼임..보지마셈..,4
이터널스,파워(초능력적 무기)에 대한 타당성이나 정당성이 전혀 없고 설명이 없더라도 납득 정도는 되어야 몰입이 되는데 그냥 무조건 神이나 절대적 존재 핑계대고 이상한 능력 부여하고 그 파워에 일관성도 없이 완전 애들 장난처럼 매우 즉흥적. 나쁜놈(파괴세력ㅋㅋㅋ)도 온갖 SF의 악마 캐릭을 혼합짬뽕 시켜서 ㅋㅋ 이젠 별의 별 능력을 다 가져다 붙이고 변형 시켜봐야 요즘 사람들 뭥미?? 이럴 듯. 같잖다는 느낌이 너무 드네요 ㅎㅎ;; 사람들 움직임에 특히 마지막 전투장면부터 CG 티가 너무 나는데 기술 안되면 차라리 다른 기술을 쓰던지 아예 그런 장면을 넣지 말아야지.. 아무리 SF 판타지 장르이지만 극도로 억지스럽고 말이 안되도 이렇게 안되는 스토리를 끼워 맞추려다 보니 고스란히 졸작이 되어버린 듯. 스토리 자체도 요즘같은 시대에 시청자들도 보는 눈이 장난이 아닌데 &amp;#39;태초에..&amp;#39; 이렇게 시작해서 모든 말도 안됨을  퉁쳐 버리고 억지스럽게 짜맞추려 하다보니 진짜 졸렬해도 이렇게 졸렬할 수가 없다. 이젠 이러한 판타지물도 스토리 고갈에 컨셉조차 맛탱이 가서 당분간 획기적인 작품은 안나올 듯. 게다가 2시간 30분 훌쩍~ 과하디 과한 모든걸 다 가져다 붙인 졸작의 진수를 기록하려 한 듯. 한마디로 진상 ㅋㅋㅋ 그나마 마블리 보는 맛으로 보다가 .. ,1
아이리시맨,너무 길고 지루함 사람들도 헷갈리고,7
올드,나만 재밌었음..? 원래 이렇게 현실자각하고 보면 안되는 영화는 기대 안하고 보는데 전혀 예상못한 결말이라 감명받았음 결말은 일본 마루타가 생각남 ,10
앵커,"의미심장한 메시지를 남기는, 무겁지만 외면할 수 없는 영화",10
쿠폰의 여왕,내용은 예상에서 크게 벗어나지 않으나 가끔 나오는 웃음 포인트가 재미를 선사한다.,7
신비한 동물들과 덤블도어의 비밀,해덕이라면 재밌게볼듯,10
푸른 호수,"과거 국제 입양의 헛점이 지금도 고통을 주고 있음을 알게 해준 영화입니다. 연기, 스토리 모두 일품이네요. 전감독님 연기 너무 잘해요. 예전 차인표쌤과 나온 영화에서 교포 연기 했던 분이었다니 .. 역시나 싶어요. ",10
말할 수 없는 비밀,"과거에도, 현재도, 미래에도 10점인 나의 전무후무한 인생영화",10
지니어스,가끔 천재성을 가진 친구를 하나정도 알고있었으면 좋겠다는 생각을 해봤다. 왜냐구? 독특하잖아. 그런데 둘은 싫다. 왜냐구? 골치아파~ ㅎㅎㅎ,8
내가 처음으로 사랑한 소녀,"퀴어영화에 뭘 더 바라는가?그들의 사랑이 순간 아름다웠으면 됐지, 사실 그게 전부다. 우리는 한순간으로 하루를 살아가고 다시 또 그게 모여서 추억이 된다.여러 감정에 휘둘려 다니지 말고 한가지 감정에 집중하자, 그것만으로 만족하며 살아가야 한다.",10
신비한 동물들과 덤블도어의 비밀,호그와트가 나오는데 너무 좋았음 ㅠㅠ 동물들도 귀엽고!,10
니 부모 얼굴이 보고 싶다,보고 피해자 생각에 마음이 아팠습니다…,10
서울괴담,죄다애매하고 중간에 끊긴느낌 빨간귀신이 벽타고올라갈때부터 뭔가 잘못됨을 느낌,2
분노의 질주: 더 얼티메이트,7편에서 끝났어야 했다.. 이젠 나락릐 길로 가는군.. 내가 알던 분질은 없어졌다..,5
그린 북,가슴이먹먹합니다늦게나마 볼수있게되어 영광인 작품입니다,10
샹치와 텐 링즈의 전설,영상미가 너무좋아서 놀랐고 디즈니플러스로 이터널스보면서 이게뭐지...하다가 바로 샹치보니까 타격감좋은 액션과 몇인물에 포커싱된 몰입감이 좋았어요!보고난 감상으로 7점대는 절대 아닌거 같고 10점만점으로 아쉬운점이 없다고 할순없지만 평점이 너무 너프당해있는거같아서 10점 남기고 가요!간만에 재밌게 영화봣네요 ㅎㅎㅎㅎ,10
앵커,오랜만에 재미있게 본 영화입니다. ,10
킹스맨: 골든 서클,이게 영화인가? 허무맹랑한 쓰레기 영화.,1
푸른 호수,어제 궁금한 이야기 Y에서 보았던 분 이야기와 비슷해서 가슴 먹먹하면서 보게 되었네요. 추방되어 한국에 와도 정착하지 못하고 떠돌이 생활을 해야하는 미국 시민권 없는 이민자의 가슴 아픈 사연 잘 봤습니다. ,10
말모이,정말감사합니다.저희말을지켜주셔서고맙습니다감사합니다우리모두 잊지말길바랍니다,10
니 부모 얼굴이 보고 싶다,자식은 부모의 거울이다.,6
서울괴담,공포영화를 보면서 놀래지 않았던 적은 처음인 영화 ,1
더 배트맨,진짜 배트맨 영화. 그 어둡고 우울한 분위기 그게 진짜 배트맨이지.,10
소녀가 소녀에게,이렇게 이쁜 여주가 왕따라니...세상이 미쳐돌아가네 순수함의 결정체 같이 생긴애가 왕따 ㄷㄷ,10
